language,lect,s_citation,m_citation,s_gloss,m_gloss,class,source,contributor,glottocode
Andi,Gagatli,черххи,,тело,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1амч1ал,,висок,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чук1а,,ступня,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,щанщаххванххва,,костные внутренности черепа,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,щек1и,,жила,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,щек1и,,кровеносный сосуд,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,авахор,,опухание,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,авахор,,опухоль,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,баъараб,,сыпь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бечича,,малярия,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,вабаъи,,холера,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,воххурол1и,,рукъур простуда,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,вуххолъирол1и,,рукъур понос,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъиму,,бородавка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъонхъиссол,,грипп,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гьобдийа,,рукъур эпилепсия,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,данбижун,,чирей,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къавса,,чума,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мочил,,ревматизм,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,пуп,,нарьгв,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,рукъур,,болезнь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ссимл1и,,рукъур сыпной тиф,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,тиртил,,болячка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,т1егъи,,парша,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,т1урукъур,,сифилис,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,угъулол,,кашель,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,узуру,,болезнь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,хъаст1у,,сыпь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,хъириси,,чесотка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ц1ал1и,,рукъур брюшной тиф,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ц1омц1ол,,прыщ,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чакку,,рукъур желтуха,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чихотка,,туберкулез,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,эбчилол,,насморк,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бишо,,шуба,,4,Salimov 2010,Ksenia Romanova,andi1255
